,mix,n_src,length,s1,s2
0,2speakers/wav8k/min/cv/mix/011a010d_0.54422_20do010c_-0.54422.wav,2,44891,2speakers/wav8k/min/cv/s1/011a010d_0.54422_20do010c_-0.54422.wav,2speakers/wav8k/min/cv/s2/011a010d_0.54422_20do010c_-0.54422.wav
1,2speakers/wav8k/min/cv/mix/011a010g_0.16366_40pc0204_-0.16366.wav,2,39956,2speakers/wav8k/min/cv/s1/011a010g_0.16366_40pc0204_-0.16366.wav,2speakers/wav8k/min/cv/s2/011a010g_0.16366_40pc0204_-0.16366.wav
2,2speakers/wav8k/min/cv/mix/011a010g_1.9898_20aa0113_-1.9898.wav,2,39956,2speakers/wav8k/min/cv/s1/011a010g_1.9898_20aa0113_-1.9898.wav,2speakers/wav8k/min/cv/s2/011a010g_1.9898_20aa0113_-1.9898.wav
3,2speakers/wav8k/min/cv/mix/011a010i_0.85584_01na010w_-0.85584.wav,2,46326,2speakers/wav8k/min/cv/s1/011a010i_0.85584_01na010w_-0.85584.wav,2speakers/wav8k/min/cv/s2/011a010i_0.85584_01na010w_-0.85584.wav
4,2speakers/wav8k/min/cv/mix/011a010i_1.2787_206a0106_-1.2787.wav,2,46326,2speakers/wav8k/min/cv/s1/011a010i_1.2787_206a0106_-1.2787.wav,2speakers/wav8k/min/cv/s2/011a010i_1.2787_206a0106_-1.2787.wav
5,2speakers/wav8k/min/cv/mix/011a010j_1.0084_401c0215_-1.0084.wav,2,44019,2speakers/wav8k/min/cv/s1/011a010j_1.0084_401c0215_-1.0084.wav,2speakers/wav8k/min/cv/s2/011a010j_1.0084_401c0215_-1.0084.wav
6,2speakers/wav8k/min/cv/mix/011a0112_1.2546_40ac0203_-1.2546.wav,2,30929,2speakers/wav8k/min/cv/s1/011a0112_1.2546_40ac0203_-1.2546.wav,2speakers/wav8k/min/cv/s2/011a0112_1.2546_40ac0203_-1.2546.wav
7,2speakers/wav8k/min/cv/mix/011c0206_0.75883_027o030m_-0.75883.wav,2,44121,2speakers/wav8k/min/cv/s1/011c0206_0.75883_027o030m_-0.75883.wav,2speakers/wav8k/min/cv/s2/011c0206_0.75883_027o030m_-0.75883.wav
8,2speakers/wav8k/min/cv/mix/011c0207_0.12777_40do0315_-0.12777.wav,2,27659,2speakers/wav8k/min/cv/s1/011c0207_0.12777_40do0315_-0.12777.wav,2speakers/wav8k/min/cv/s2/011c0207_0.12777_40do0315_-0.12777.wav
9,2speakers/wav8k/min/cv/mix/011c0208_1.7198_025c021b_-1.7198.wav,2,51026,2speakers/wav8k/min/cv/s1/011c0208_1.7198_025c021b_-1.7198.wav,2speakers/wav8k/min/cv/s2/011c0208_1.7198_025c021b_-1.7198.wav
10,2speakers/wav8k/min/cv/mix/011c0208_1.8401_019c0215_-1.8401.wav,2,51026,2speakers/wav8k/min/cv/s1/011c0208_1.8401_019c0215_-1.8401.wav,2speakers/wav8k/min/cv/s2/011c0208_1.8401_019c0215_-1.8401.wav
11,2speakers/wav8k/min/cv/mix/011c0208_1.9102_20ba0102_-1.9102.wav,2,38880,2speakers/wav8k/min/cv/s1/011c0208_1.9102_20ba0102_-1.9102.wav,2speakers/wav8k/min/cv/s2/011c0208_1.9102_20ba0102_-1.9102.wav
12,2speakers/wav8k/min/cv/mix/011c0208_1.923_20sa010h_-1.923.wav,2,44320,2speakers/wav8k/min/cv/s1/011c0208_1.923_20sa010h_-1.923.wav,2speakers/wav8k/min/cv/s2/011c0208_1.923_20sa010h_-1.923.wav
13,2speakers/wav8k/min/cv/mix/011c0208_2.4906_01vc020l_-2.4906.wav,2,49985,2speakers/wav8k/min/cv/s1/011c0208_2.4906_01vc020l_-2.4906.wav,2speakers/wav8k/min/cv/s2/011c0208_2.4906_01vc020l_-2.4906.wav
14,2speakers/wav8k/min/cv/mix/011c020c_0.2066_40co031d_-0.2066.wav,2,38838,2speakers/wav8k/min/cv/s1/011c020c_0.2066_40co031d_-0.2066.wav,2speakers/wav8k/min/cv/s2/011c020c_0.2066_40co031d_-0.2066.wav
15,2speakers/wav8k/min/cv/mix/011c020c_0.35833_208c010j_-0.35833.wav,2,38838,2speakers/wav8k/min/cv/s1/011c020c_0.35833_208c010j_-0.35833.wav,2speakers/wav8k/min/cv/s2/011c020c_0.35833_208c010j_-0.35833.wav
16,2speakers/wav8k/min/cv/mix/011c020e_1.3192_40da010s_-1.3192.wav,2,40901,2speakers/wav8k/min/cv/s1/011c020e_1.3192_40da010s_-1.3192.wav,2speakers/wav8k/min/cv/s2/011c020e_1.3192_40da010s_-1.3192.wav
17,2speakers/wav8k/min/cv/mix/011c020e_1.7992_015a010n_-1.7992.wav,2,40901,2speakers/wav8k/min/cv/s1/011c020e_1.7992_015a010n_-1.7992.wav,2speakers/wav8k/min/cv/s2/011c020e_1.7992_015a010n_-1.7992.wav
18,2speakers/wav8k/min/cv/mix/011c020e_2.3149_023o0316_-2.3149.wav,2,40901,2speakers/wav8k/min/cv/s1/011c020e_2.3149_023o0316_-2.3149.wav,2speakers/wav8k/min/cv/s2/011c020e_2.3149_023o0316_-2.3149.wav
19,2speakers/wav8k/min/cv/mix/011c020h_0.9531_013c020l_-0.9531.wav,2,67017,2speakers/wav8k/min/cv/s1/011c020h_0.9531_013c020l_-0.9531.wav,2speakers/wav8k/min/cv/s2/011c020h_0.9531_013c020l_-0.9531.wav
20,2speakers/wav8k/min/cv/mix/011c020h_1.6344_01oc020b_-1.6344.wav,2,51845,2speakers/wav8k/min/cv/s1/011c020h_1.6344_01oc020b_-1.6344.wav,2speakers/wav8k/min/cv/s2/011c020h_1.6344_01oc020b_-1.6344.wav
21,2speakers/wav8k/min/cv/mix/011c020h_1.8976_01jc020m_-1.8976.wav,2,27643,2speakers/wav8k/min/cv/s1/011c020h_1.8976_01jc020m_-1.8976.wav,2speakers/wav8k/min/cv/s2/011c020h_1.8976_01jc020m_-1.8976.wav
22,2speakers/wav8k/min/cv/mix/011c020k_0.99457_20pa010m_-0.99457.wav,2,41440,2speakers/wav8k/min/cv/s1/011c020k_0.99457_20pa010m_-0.99457.wav,2speakers/wav8k/min/cv/s2/011c020k_0.99457_20pa010m_-0.99457.wav
23,2speakers/wav8k/min/cv/mix/011c020l_0.94985_40fo031e_-0.94985.wav,2,82517,2speakers/wav8k/min/cv/s1/011c020l_0.94985_40fo031e_-0.94985.wav,2speakers/wav8k/min/cv/s2/011c020l_0.94985_40fo031e_-0.94985.wav
24,2speakers/wav8k/min/cv/mix/011c020m_0.036278_20cc0102_-0.036278.wav,2,58193,2speakers/wav8k/min/cv/s1/011c020m_0.036278_20cc0102_-0.036278.wav,2speakers/wav8k/min/cv/s2/011c020m_0.036278_20cc0102_-0.036278.wav
25,2speakers/wav8k/min/cv/mix/011c020m_0.49489_20uo010l_-0.49489.wav,2,30240,2speakers/wav8k/min/cv/s1/011c020m_0.49489_20uo010l_-0.49489.wav,2speakers/wav8k/min/cv/s2/011c020m_0.49489_20uo010l_-0.49489.wav
26,2speakers/wav8k/min/cv/mix/011c020r_1.0283_01co030j_-1.0283.wav,2,45177,2speakers/wav8k/min/cv/s1/011c020r_1.0283_01co030j_-1.0283.wav,2speakers/wav8k/min/cv/s2/011c020r_1.0283_01co030j_-1.0283.wav
27,2speakers/wav8k/min/cv/mix/011c020r_2.3828_401c0215_-2.3828.wav,2,48803,2speakers/wav8k/min/cv/s1/011c020r_2.3828_401c0215_-2.3828.wav,2speakers/wav8k/min/cv/s2/011c020r_2.3828_401c0215_-2.3828.wav
28,2speakers/wav8k/min/cv/mix/011c0212_0.003171_01zc0212_-0.003171.wav,2,63478,2speakers/wav8k/min/cv/s1/011c0212_0.003171_01zc0212_-0.003171.wav,2speakers/wav8k/min/cv/s2/011c0212_0.003171_01zc0212_-0.003171.wav
29,2speakers/wav8k/min/cv/mix/011c0212_0.29915_408o0304_-0.29915.wav,2,63478,2speakers/wav8k/min/cv/s1/011c0212_0.29915_408o0304_-0.29915.wav,2speakers/wav8k/min/cv/s2/011c0212_0.29915_408o0304_-0.29915.wav
30,2speakers/wav8k/min/cv/mix/011c0212_0.7385_40oo0312_-0.7385.wav,2,53980,2speakers/wav8k/min/cv/s1/011c0212_0.7385_40oo0312_-0.7385.wav,2speakers/wav8k/min/cv/s2/011c0212_0.7385_40oo0312_-0.7385.wav
31,2speakers/wav8k/min/cv/mix/011c021e_1.2448_40go030k_-1.2448.wav,2,50109,2speakers/wav8k/min/cv/s1/011c021e_1.2448_40go030k_-1.2448.wav,2speakers/wav8k/min/cv/s2/011c021e_1.2448_40go030k_-1.2448.wav
32,2speakers/wav8k/min/cv/mix/011c021e_1.4337_20ca010b_-1.4337.wav,2,38560,2speakers/wav8k/min/cv/s1/011c021e_1.4337_20ca010b_-1.4337.wav,2speakers/wav8k/min/cv/s2/011c021e_1.4337_20ca010b_-1.4337.wav
33,2speakers/wav8k/min/cv/mix/011c021e_2.0658_40dc020l_-2.0658.wav,2,38206,2speakers/wav8k/min/cv/s1/011c021e_2.0658_40dc020l_-2.0658.wav,2speakers/wav8k/min/cv/s2/011c021e_2.0658_40dc020l_-2.0658.wav
34,2speakers/wav8k/min/cv/mix/011o0302_1.959_021o030r_-1.959.wav,2,55554,2speakers/wav8k/min/cv/s1/011o0302_1.959_021o030r_-1.959.wav,2speakers/wav8k/min/cv/s2/011o0302_1.959_021o030r_-1.959.wav
35,2speakers/wav8k/min/cv/mix/011o0305_0.51084_401a010u_-0.51084.wav,2,64048,2speakers/wav8k/min/cv/s1/011o0305_0.51084_401a010u_-0.51084.wav,2speakers/wav8k/min/cv/s2/011o0305_0.51084_401a010u_-0.51084.wav
36,2speakers/wav8k/min/cv/mix/011o0309_0.016531_026a010c_-0.016531.wav,2,41376,2speakers/wav8k/min/cv/s1/011o0309_0.016531_026a010c_-0.016531.wav,2speakers/wav8k/min/cv/s2/011o0309_0.016531_026a010c_-0.016531.wav
37,2speakers/wav8k/min/cv/mix/011o030j_0.85488_024c0217_-0.85488.wav,2,30160,2speakers/wav8k/min/cv/s1/011o030j_0.85488_024c0217_-0.85488.wav,2speakers/wav8k/min/cv/s2/011o030j_0.85488_024c0217_-0.85488.wav
38,2speakers/wav8k/min/cv/mix/011o030j_1.6687_01vc021a_-1.6687.wav,2,40536,2speakers/wav8k/min/cv/s1/011o030j_1.6687_01vc021a_-1.6687.wav,2speakers/wav8k/min/cv/s2/011o030j_1.6687_01vc021a_-1.6687.wav
39,2speakers/wav8k/min/cv/mix/011o030j_2.1352_01to0306_-2.1352.wav,2,77298,2speakers/wav8k/min/cv/s1/011o030j_2.1352_01to0306_-2.1352.wav,2speakers/wav8k/min/cv/s2/011o030j_2.1352_01to0306_-2.1352.wav
40,2speakers/wav8k/min/cv/mix/011o030l_0.4331_025o0313_-0.4331.wav,2,88189,2speakers/wav8k/min/cv/s1/011o030l_0.4331_025o0313_-0.4331.wav,2speakers/wav8k/min/cv/s2/011o030l_0.4331_025o0313_-0.4331.wav
41,2speakers/wav8k/min/cv/mix/011o030z_0.36869_20qc010m_-0.36869.wav,2,97956,2speakers/wav8k/min/cv/s1/011o030z_0.36869_20qc010m_-0.36869.wav,2speakers/wav8k/min/cv/s2/011o030z_0.36869_20qc010m_-0.36869.wav
42,2speakers/wav8k/min/cv/mix/011o0312_1.6187_204a010r_-1.6187.wav,2,38400,2speakers/wav8k/min/cv/s1/011o0312_1.6187_204a010r_-1.6187.wav,2speakers/wav8k/min/cv/s2/011o0312_1.6187_204a010r_-1.6187.wav
43,2speakers/wav8k/min/cv/mix/011o0313_1.7001_01mc021e_-1.7001.wav,2,79642,2speakers/wav8k/min/cv/s1/011o0313_1.7001_01mc021e_-1.7001.wav,2speakers/wav8k/min/cv/s2/011o0313_1.7001_01mc021e_-1.7001.wav
44,2speakers/wav8k/min/cv/mix/011o0314_1.8471_20ka010d_-1.8471.wav,2,54560,2speakers/wav8k/min/cv/s1/011o0314_1.8471_20ka010d_-1.8471.wav,2speakers/wav8k/min/cv/s2/011o0314_1.8471_20ka010d_-1.8471.wav
45,2speakers/wav8k/min/cv/mix/011o0314_2.4409_405c0210_-2.4409.wav,2,41955,2speakers/wav8k/min/cv/s1/011o0314_2.4409_405c0210_-2.4409.wav,2speakers/wav8k/min/cv/s2/011o0314_2.4409_405c0210_-2.4409.wav
46,2speakers/wav8k/min/cv/mix/011o0318_0.022092_40go030q_-0.022092.wav,2,56361,2speakers/wav8k/min/cv/s1/011o0318_0.022092_40go030q_-0.022092.wav,2speakers/wav8k/min/cv/s2/011o0318_0.022092_40go030q_-0.022092.wav
47,2speakers/wav8k/min/cv/mix/011o0318_0.25_40kc0217_-0.25.wav,2,17264,2speakers/wav8k/min/cv/s1/011o0318_0.25_40kc0217_-0.25.wav,2speakers/wav8k/min/cv/s2/011o0318_0.25_40kc0217_-0.25.wav
48,2speakers/wav8k/min/cv/mix/011o031b_0.76857_02ao0306_-0.76857.wav,2,56085,2speakers/wav8k/min/cv/s1/011o031b_0.76857_02ao0306_-0.76857.wav,2speakers/wav8k/min/cv/s2/011o031b_0.76857_02ao0306_-0.76857.wav
49,2speakers/wav8k/min/cv/mix/011o031b_0.78755_208a0111_-0.78755.wav,2,44000,2speakers/wav8k/min/cv/s1/011o031b_0.78755_208a0111_-0.78755.wav,2speakers/wav8k/min/cv/s2/011o031b_0.78755_208a0111_-0.78755.wav
50,2speakers/wav8k/min/cv/mix/011o031b_1.8_206a010u_-1.8.wav,2,49120,2speakers/wav8k/min/cv/s1/011o031b_1.8_206a010u_-1.8.wav,2speakers/wav8k/min/cv/s2/011o031b_1.8_206a010u_-1.8.wav
