,mix,n_src,length,s1,s2,s3,s4
0,4speakers/wav8k/min/cv/mix/011a010d_1.5361218_401o030y_0.86846815_01po030g_-0.86846815_01ra010y_-1.5361218.wav,4,38314,4speakers/wav8k/min/cv/s1/011a010d_1.5361218_401o030y_0.86846815_01po030g_-0.86846815_01ra010y_-1.5361218.wav,4speakers/wav8k/min/cv/s2/011a010d_1.5361218_401o030y_0.86846815_01po030g_-0.86846815_01ra010y_-1.5361218.wav,4speakers/wav8k/min/cv/s3/011a010d_1.5361218_401o030y_0.86846815_01po030g_-0.86846815_01ra010y_-1.5361218.wav,4speakers/wav8k/min/cv/s4/011a010d_1.5361218_401o030y_0.86846815_01po030g_-0.86846815_01ra010y_-1.5361218.wav
1,4speakers/wav8k/min/cv/mix/011a010e_1.6363501_20sa010u_1.7497568_20qa010k_-1.7497568_40nc0213_-1.6363501.wav,4,37920,4speakers/wav8k/min/cv/s1/011a010e_1.6363501_20sa010u_1.7497568_20qa010k_-1.7497568_40nc0213_-1.6363501.wav,4speakers/wav8k/min/cv/s2/011a010e_1.6363501_20sa010u_1.7497568_20qa010k_-1.7497568_40nc0213_-1.6363501.wav,4speakers/wav8k/min/cv/s3/011a010e_1.6363501_20sa010u_1.7497568_20qa010k_-1.7497568_40nc0213_-1.6363501.wav,4speakers/wav8k/min/cv/s4/011a010e_1.6363501_20sa010u_1.7497568_20qa010k_-1.7497568_40nc0213_-1.6363501.wav
2,4speakers/wav8k/min/cv/mix/011a010e_2.254419_407c020m_2.0737517_01so0302_-2.0737517_406a010e_-2.254419.wav,4,44086,4speakers/wav8k/min/cv/s1/011a010e_2.254419_407c020m_2.0737517_01so0302_-2.0737517_406a010e_-2.254419.wav,4speakers/wav8k/min/cv/s2/011a010e_2.254419_407c020m_2.0737517_01so0302_-2.0737517_406a010e_-2.254419.wav,4speakers/wav8k/min/cv/s3/011a010e_2.254419_407c020m_2.0737517_01so0302_-2.0737517_406a010e_-2.254419.wav,4speakers/wav8k/min/cv/s4/011a010e_2.254419_407c020m_2.0737517_01so0302_-2.0737517_406a010e_-2.254419.wav
3,4speakers/wav8k/min/cv/mix/011a010g_1.2450363_01ic020d_2.4951743_029c021d_-2.4951743_20uo0107_-1.2450363.wav,4,33266,4speakers/wav8k/min/cv/s1/011a010g_1.2450363_01ic020d_2.4951743_029c021d_-2.4951743_20uo0107_-1.2450363.wav,4speakers/wav8k/min/cv/s2/011a010g_1.2450363_01ic020d_2.4951743_029c021d_-2.4951743_20uo0107_-1.2450363.wav,4speakers/wav8k/min/cv/s3/011a010g_1.2450363_01ic020d_2.4951743_029c021d_-2.4951743_20uo0107_-1.2450363.wav,4speakers/wav8k/min/cv/s4/011a010g_1.2450363_01ic020d_2.4951743_029c021d_-2.4951743_20uo0107_-1.2450363.wav
4,4speakers/wav8k/min/cv/mix/011a010i_0.2943705_40kc020u_0.44265563_406o030f_-0.44265563_01sa0106_-0.2943705.wav,4,42350,4speakers/wav8k/min/cv/s1/011a010i_0.2943705_40kc020u_0.44265563_406o030f_-0.44265563_01sa0106_-0.2943705.wav,4speakers/wav8k/min/cv/s2/011a010i_0.2943705_40kc020u_0.44265563_406o030f_-0.44265563_01sa0106_-0.2943705.wav,4speakers/wav8k/min/cv/s3/011a010i_0.2943705_40kc020u_0.44265563_406o030f_-0.44265563_01sa0106_-0.2943705.wav,4speakers/wav8k/min/cv/s4/011a010i_0.2943705_40kc020u_0.44265563_406o030f_-0.44265563_01sa0106_-0.2943705.wav
5,4speakers/wav8k/min/cv/mix/011a010i_1.0615755_40ho030z_1.6808184_40mo0313_-1.6808184_20oo010c_-1.0615755.wav,4,44502,4speakers/wav8k/min/cv/s1/011a010i_1.0615755_40ho030z_1.6808184_40mo0313_-1.6808184_20oo010c_-1.0615755.wav,4speakers/wav8k/min/cv/s2/011a010i_1.0615755_40ho030z_1.6808184_40mo0313_-1.6808184_20oo010c_-1.0615755.wav,4speakers/wav8k/min/cv/s3/011a010i_1.0615755_40ho030z_1.6808184_40mo0313_-1.6808184_20oo010c_-1.0615755.wav,4speakers/wav8k/min/cv/s4/011a010i_1.0615755_40ho030z_1.6808184_40mo0313_-1.6808184_20oo010c_-1.0615755.wav
6,4speakers/wav8k/min/cv/mix/011a010j_0.78819504_20lo010m_2.2192496_01cc0218_-2.2192496_013a0109_-0.78819504.wav,4,38589,4speakers/wav8k/min/cv/s1/011a010j_0.78819504_20lo010m_2.2192496_01cc0218_-2.2192496_013a0109_-0.78819504.wav,4speakers/wav8k/min/cv/s2/011a010j_0.78819504_20lo010m_2.2192496_01cc0218_-2.2192496_013a0109_-0.78819504.wav,4speakers/wav8k/min/cv/s3/011a010j_0.78819504_20lo010m_2.2192496_01cc0218_-2.2192496_013a0109_-0.78819504.wav,4speakers/wav8k/min/cv/s4/011a010j_0.78819504_20lo010m_2.2192496_01cc0218_-2.2192496_013a0109_-0.78819504.wav
7,4speakers/wav8k/min/cv/mix/011a010j_1.0929708_01do030n_1.3291973_20go0104_-1.3291973_01uo031c_-1.0929708.wav,4,43520,4speakers/wav8k/min/cv/s1/011a010j_1.0929708_01do030n_1.3291973_20go0104_-1.3291973_01uo031c_-1.0929708.wav,4speakers/wav8k/min/cv/s2/011a010j_1.0929708_01do030n_1.3291973_20go0104_-1.3291973_01uo031c_-1.0929708.wav,4speakers/wav8k/min/cv/s3/011a010j_1.0929708_01do030n_1.3291973_20go0104_-1.3291973_01uo031c_-1.0929708.wav,4speakers/wav8k/min/cv/s4/011a010j_1.0929708_01do030n_1.3291973_20go0104_-1.3291973_01uo031c_-1.0929708.wav
8,4speakers/wav8k/min/cv/mix/011a010p_1.2341462_40jc020o_1.2337247_01oc021a_-1.2337247_40ia0109_-1.2341462.wav,4,30476,4speakers/wav8k/min/cv/s1/011a010p_1.2341462_40jc020o_1.2337247_01oc021a_-1.2337247_40ia0109_-1.2341462.wav,4speakers/wav8k/min/cv/s2/011a010p_1.2341462_40jc020o_1.2337247_01oc021a_-1.2337247_40ia0109_-1.2341462.wav,4speakers/wav8k/min/cv/s3/011a010p_1.2341462_40jc020o_1.2337247_01oc021a_-1.2337247_40ia0109_-1.2341462.wav,4speakers/wav8k/min/cv/s4/011a010p_1.2341462_40jc020o_1.2337247_01oc021a_-1.2337247_40ia0109_-1.2341462.wav
9,4speakers/wav8k/min/cv/mix/011a010r_0.32213698_40ao0304_1.0667399_40ba0107_-1.0667399_20rc0107_-0.32213698.wav,4,41943,4speakers/wav8k/min/cv/s1/011a010r_0.32213698_40ao0304_1.0667399_40ba0107_-1.0667399_20rc0107_-0.32213698.wav,4speakers/wav8k/min/cv/s2/011a010r_0.32213698_40ao0304_1.0667399_40ba0107_-1.0667399_20rc0107_-0.32213698.wav,4speakers/wav8k/min/cv/s3/011a010r_0.32213698_40ao0304_1.0667399_40ba0107_-1.0667399_20rc0107_-0.32213698.wav,4speakers/wav8k/min/cv/s4/011a010r_0.32213698_40ao0304_1.0667399_40ba0107_-1.0667399_20rc0107_-0.32213698.wav
