,mix,n_src,length,s1,s2,s3,s4,s5
0,5speakers/wav8k/min/cv/mix/011a010d_0.20683784_409c0219_2.06443_01io030z_-2.06443_01ka0105_-0.20683784_20ia010x_0.wav,5,43680,5speakers/wav8k/min/cv/s1/011a010d_0.20683784_409c0219_2.06443_01io030z_-2.06443_01ka0105_-0.20683784_20ia010x_0.wav,5speakers/wav8k/min/cv/s2/011a010d_0.20683784_409c0219_2.06443_01io030z_-2.06443_01ka0105_-0.20683784_20ia010x_0.wav,5speakers/wav8k/min/cv/s3/011a010d_0.20683784_409c0219_2.06443_01io030z_-2.06443_01ka0105_-0.20683784_20ia010x_0.wav,5speakers/wav8k/min/cv/s4/011a010d_0.20683784_409c0219_2.06443_01io030z_-2.06443_01ka0105_-0.20683784_20ia010x_0.wav,5speakers/wav8k/min/cv/s5/011a010d_0.20683784_409c0219_2.06443_01io030z_-2.06443_01ka0105_-0.20683784_20ia010x_0.wav
1,5speakers/wav8k/min/cv/mix/011a010d_0.48657138_01wa0104_0.77493929_028a0103_-0.77493929_20lo0109_-0.48657138_024c0218_0.wav,5,38557,5speakers/wav8k/min/cv/s1/011a010d_0.48657138_01wa0104_0.77493929_028a0103_-0.77493929_20lo0109_-0.48657138_024c0218_0.wav,5speakers/wav8k/min/cv/s2/011a010d_0.48657138_01wa0104_0.77493929_028a0103_-0.77493929_20lo0109_-0.48657138_024c0218_0.wav,5speakers/wav8k/min/cv/s3/011a010d_0.48657138_01wa0104_0.77493929_028a0103_-0.77493929_20lo0109_-0.48657138_024c0218_0.wav,5speakers/wav8k/min/cv/s4/011a010d_0.48657138_01wa0104_0.77493929_028a0103_-0.77493929_20lo0109_-0.48657138_024c0218_0.wav,5speakers/wav8k/min/cv/s5/011a010d_0.48657138_01wa0104_0.77493929_028a0103_-0.77493929_20lo0109_-0.48657138_024c0218_0.wav
2,5speakers/wav8k/min/cv/mix/011a010d_0.9738187_40oc0210_1.1157321_01ga0104_-1.1157321_40io030h_-0.9738187_01ga010b_0.wav,5,38244,5speakers/wav8k/min/cv/s1/011a010d_0.9738187_40oc0210_1.1157321_01ga0104_-1.1157321_40io030h_-0.9738187_01ga010b_0.wav,5speakers/wav8k/min/cv/s2/011a010d_0.9738187_40oc0210_1.1157321_01ga0104_-1.1157321_40io030h_-0.9738187_01ga010b_0.wav,5speakers/wav8k/min/cv/s3/011a010d_0.9738187_40oc0210_1.1157321_01ga0104_-1.1157321_40io030h_-0.9738187_01ga010b_0.wav,5speakers/wav8k/min/cv/s4/011a010d_0.9738187_40oc0210_1.1157321_01ga0104_-1.1157321_40io030h_-0.9738187_01ga010b_0.wav,5speakers/wav8k/min/cv/s5/011a010d_0.9738187_40oc0210_1.1157321_01ga0104_-1.1157321_40io030h_-0.9738187_01ga010b_0.wav
3,5speakers/wav8k/min/cv/mix/011a010e_0.89631492_021c020y_1.5641313_20ta0107_-1.5641313_021o0314_-0.89631492_20gc010m_0.wav,5,27426,5speakers/wav8k/min/cv/s1/011a010e_0.89631492_021c020y_1.5641313_20ta0107_-1.5641313_021o0314_-0.89631492_20gc010m_0.wav,5speakers/wav8k/min/cv/s2/011a010e_0.89631492_021c020y_1.5641313_20ta0107_-1.5641313_021o0314_-0.89631492_20gc010m_0.wav,5speakers/wav8k/min/cv/s3/011a010e_0.89631492_021c020y_1.5641313_20ta0107_-1.5641313_021o0314_-0.89631492_20gc010m_0.wav,5speakers/wav8k/min/cv/s4/011a010e_0.89631492_021c020y_1.5641313_20ta0107_-1.5641313_021o0314_-0.89631492_20gc010m_0.wav,5speakers/wav8k/min/cv/s5/011a010e_0.89631492_021c020y_1.5641313_20ta0107_-1.5641313_021o0314_-0.89631492_20gc010m_0.wav
4,5speakers/wav8k/min/cv/mix/011a010i_2.2865581_01vo0301_2.1142245_01eo030d_-2.1142245_019o0301_-2.2865581_01wo030d_0.wav,5,46326,5speakers/wav8k/min/cv/s1/011a010i_2.2865581_01vo0301_2.1142245_01eo030d_-2.1142245_019o0301_-2.2865581_01wo030d_0.wav,5speakers/wav8k/min/cv/s2/011a010i_2.2865581_01vo0301_2.1142245_01eo030d_-2.1142245_019o0301_-2.2865581_01wo030d_0.wav,5speakers/wav8k/min/cv/s3/011a010i_2.2865581_01vo0301_2.1142245_01eo030d_-2.1142245_019o0301_-2.2865581_01wo030d_0.wav,5speakers/wav8k/min/cv/s4/011a010i_2.2865581_01vo0301_2.1142245_01eo030d_-2.1142245_019o0301_-2.2865581_01wo030d_0.wav,5speakers/wav8k/min/cv/s5/011a010i_2.2865581_01vo0301_2.1142245_01eo030d_-2.1142245_019o0301_-2.2865581_01wo030d_0.wav
5,5speakers/wav8k/min/cv/mix/011a010j_1.2477202_018c020x_0.54382204_011c020h_-0.54382204_406c0203_-1.2477202_026c021f_0.wav,5,31207,5speakers/wav8k/min/cv/s1/011a010j_1.2477202_018c020x_0.54382204_011c020h_-0.54382204_406c0203_-1.2477202_026c021f_0.wav,5speakers/wav8k/min/cv/s2/011a010j_1.2477202_018c020x_0.54382204_011c020h_-0.54382204_406c0203_-1.2477202_026c021f_0.wav,5speakers/wav8k/min/cv/s3/011a010j_1.2477202_018c020x_0.54382204_011c020h_-0.54382204_406c0203_-1.2477202_026c021f_0.wav,5speakers/wav8k/min/cv/s4/011a010j_1.2477202_018c020x_0.54382204_011c020h_-0.54382204_406c0203_-1.2477202_026c021f_0.wav,5speakers/wav8k/min/cv/s5/011a010j_1.2477202_018c020x_0.54382204_011c020h_-0.54382204_406c0203_-1.2477202_026c021f_0.wav
6,5speakers/wav8k/min/cv/mix/011a010j_1.8098915_01na0103_0.24353464_01ko0318_-0.24353464_01mo0303_-1.8098915_206c0108_0.wav,5,44019,5speakers/wav8k/min/cv/s1/011a010j_1.8098915_01na0103_0.24353464_01ko0318_-0.24353464_01mo0303_-1.8098915_206c0108_0.wav,5speakers/wav8k/min/cv/s2/011a010j_1.8098915_01na0103_0.24353464_01ko0318_-0.24353464_01mo0303_-1.8098915_206c0108_0.wav,5speakers/wav8k/min/cv/s3/011a010j_1.8098915_01na0103_0.24353464_01ko0318_-0.24353464_01mo0303_-1.8098915_206c0108_0.wav,5speakers/wav8k/min/cv/s4/011a010j_1.8098915_01na0103_0.24353464_01ko0318_-0.24353464_01mo0303_-1.8098915_206c0108_0.wav,5speakers/wav8k/min/cv/s5/011a010j_1.8098915_01na0103_0.24353464_01ko0318_-0.24353464_01mo0303_-1.8098915_206c0108_0.wav
7,5speakers/wav8k/min/cv/mix/011a010j_1.9707347_01ra0112_1.878614_01qa010z_-1.878614_01mc0202_-1.9707347_023o030s_0.wav,5,31882,5speakers/wav8k/min/cv/s1/011a010j_1.9707347_01ra0112_1.878614_01qa010z_-1.878614_01mc0202_-1.9707347_023o030s_0.wav,5speakers/wav8k/min/cv/s2/011a010j_1.9707347_01ra0112_1.878614_01qa010z_-1.878614_01mc0202_-1.9707347_023o030s_0.wav,5speakers/wav8k/min/cv/s3/011a010j_1.9707347_01ra0112_1.878614_01qa010z_-1.878614_01mc0202_-1.9707347_023o030s_0.wav,5speakers/wav8k/min/cv/s4/011a010j_1.9707347_01ra0112_1.878614_01qa010z_-1.878614_01mc0202_-1.9707347_023o030s_0.wav,5speakers/wav8k/min/cv/s5/011a010j_1.9707347_01ra0112_1.878614_01qa010z_-1.878614_01mc0202_-1.9707347_023o030s_0.wav
8,5speakers/wav8k/min/cv/mix/011a010p_1.5167497_40ha0114_1.4710239_40kc020k_-1.4710239_40oo030x_-1.5167497_020a010q_0.wav,5,32927,5speakers/wav8k/min/cv/s1/011a010p_1.5167497_40ha0114_1.4710239_40kc020k_-1.4710239_40oo030x_-1.5167497_020a010q_0.wav,5speakers/wav8k/min/cv/s2/011a010p_1.5167497_40ha0114_1.4710239_40kc020k_-1.4710239_40oo030x_-1.5167497_020a010q_0.wav,5speakers/wav8k/min/cv/s3/011a010p_1.5167497_40ha0114_1.4710239_40kc020k_-1.4710239_40oo030x_-1.5167497_020a010q_0.wav,5speakers/wav8k/min/cv/s4/011a010p_1.5167497_40ha0114_1.4710239_40kc020k_-1.4710239_40oo030x_-1.5167497_020a010q_0.wav,5speakers/wav8k/min/cv/s5/011a010p_1.5167497_40ha0114_1.4710239_40kc020k_-1.4710239_40oo030x_-1.5167497_020a010q_0.wav
9,5speakers/wav8k/min/cv/mix/011a010r_1.033549_028a010r_2.1594173_02ao030u_-2.1594173_40gc021e_-1.033549_408c0203_0.wav,5,24469,5speakers/wav8k/min/cv/s1/011a010r_1.033549_028a010r_2.1594173_02ao030u_-2.1594173_40gc021e_-1.033549_408c0203_0.wav,5speakers/wav8k/min/cv/s2/011a010r_1.033549_028a010r_2.1594173_02ao030u_-2.1594173_40gc021e_-1.033549_408c0203_0.wav,5speakers/wav8k/min/cv/s3/011a010r_1.033549_028a010r_2.1594173_02ao030u_-2.1594173_40gc021e_-1.033549_408c0203_0.wav,5speakers/wav8k/min/cv/s4/011a010r_1.033549_028a010r_2.1594173_02ao030u_-2.1594173_40gc021e_-1.033549_408c0203_0.wav,5speakers/wav8k/min/cv/s5/011a010r_1.033549_028a010r_2.1594173_02ao030u_-2.1594173_40gc021e_-1.033549_408c0203_0.wav
