,mix,n_src,length,s1,s2
0,2speakers/wav8k/min/tr/mix/011a0101_0.061105_401c020r_-0.061105.wav,2,44293,2speakers/wav8k/min/tr/s1/011a0101_0.061105_401c020r_-0.061105.wav,2speakers/wav8k/min/tr/s2/011a0101_0.061105_401c020r_-0.061105.wav
1,2speakers/wav8k/min/tr/mix/011a0101_1.4817_407o030n_-1.4817.wav,2,44293,2speakers/wav8k/min/tr/s1/011a0101_1.4817_407o030n_-1.4817.wav,2speakers/wav8k/min/tr/s2/011a0101_1.4817_407o030n_-1.4817.wav
2,2speakers/wav8k/min/tr/mix/011a0101_2.3024_20cc0105_-2.3024.wav,2,34880,2speakers/wav8k/min/tr/s1/011a0101_2.3024_20cc0105_-2.3024.wav,2speakers/wav8k/min/tr/s2/011a0101_2.3024_20cc0105_-2.3024.wav
3,2speakers/wav8k/min/tr/mix/011a0102_2.185_028o0306_-2.185.wav,2,41338,2speakers/wav8k/min/tr/s1/011a0102_2.185_028o0306_-2.185.wav,2speakers/wav8k/min/tr/s2/011a0102_2.185_028o0306_-2.185.wav
4,2speakers/wav8k/min/tr/mix/011a0103_0.40261_20ua010b_-0.40261.wav,2,33280,2speakers/wav8k/min/tr/s1/011a0103_0.40261_20ua010b_-0.40261.wav,2speakers/wav8k/min/tr/s2/011a0103_0.40261_20ua010b_-0.40261.wav
5,2speakers/wav8k/min/tr/mix/011a0103_1.3636_026c020c_-1.3636.wav,2,41700,2speakers/wav8k/min/tr/s1/011a0103_1.3636_026c020c_-1.3636.wav,2speakers/wav8k/min/tr/s2/011a0103_1.3636_026c020c_-1.3636.wav
6,2speakers/wav8k/min/tr/mix/011a0104_0.64852_20rc010g_-0.64852.wav,2,40000,2speakers/wav8k/min/tr/s1/011a0104_0.64852_20rc010g_-0.64852.wav,2speakers/wav8k/min/tr/s2/011a0104_0.64852_20rc010g_-0.64852.wav
7,2speakers/wav8k/min/tr/mix/011a0104_1.43_406c0213_-1.43.wav,2,49777,2speakers/wav8k/min/tr/s1/011a0104_1.43_406c0213_-1.43.wav,2speakers/wav8k/min/tr/s2/011a0104_1.43_406c0213_-1.43.wav
8,2speakers/wav8k/min/tr/mix/011a0104_2.3915_20fa010n_-2.3915.wav,2,30560,2speakers/wav8k/min/tr/s1/011a0104_2.3915_20fa010n_-2.3915.wav,2speakers/wav8k/min/tr/s2/011a0104_2.3915_20fa010n_-2.3915.wav
9,2speakers/wav8k/min/tr/mix/011a0105_1.0185_401o030b_-1.0185.wav,2,48137,2speakers/wav8k/min/tr/s1/011a0105_1.0185_401o030b_-1.0185.wav,2speakers/wav8k/min/tr/s2/011a0105_1.0185_401o030b_-1.0185.wav
