,mix,n_src,length,s1,s2
0,2speakers/wav8k/min/tt/mix/050a0501_1.7783_442o030z_-1.7783.wav,2,35269,2speakers/wav8k/min/tt/s1/050a0501_1.7783_442o030z_-1.7783.wav,2speakers/wav8k/min/tt/s2/050a0501_1.7783_442o030z_-1.7783.wav
1,2speakers/wav8k/min/tt/mix/050a0502_1.3461_440o030j_-1.3461.wav,2,38899,2speakers/wav8k/min/tt/s1/050a0502_1.3461_440o030j_-1.3461.wav,2speakers/wav8k/min/tt/s2/050a0502_1.3461_440o030j_-1.3461.wav
2,2speakers/wav8k/min/tt/mix/050a0502_1.463_420a010o_-1.463.wav,2,38899,2speakers/wav8k/min/tt/s1/050a0502_1.463_420a010o_-1.463.wav,2speakers/wav8k/min/tt/s2/050a0502_1.463_420a010o_-1.463.wav
3,2speakers/wav8k/min/tt/mix/050a0502_1.9707_440c020w_-1.9707.wav,2,38899,2speakers/wav8k/min/tt/s1/050a0502_1.9707_440c020w_-1.9707.wav,2speakers/wav8k/min/tt/s2/050a0502_1.9707_440c020w_-1.9707.wav
4,2speakers/wav8k/min/tt/mix/050a0504_2.4414_443o0313_-2.4414.wav,2,44898,2speakers/wav8k/min/tt/s1/050a0504_2.4414_443o0313_-2.4414.wav,2speakers/wav8k/min/tt/s2/050a0504_2.4414_443o0313_-2.4414.wav
5,2speakers/wav8k/min/tt/mix/050a0505_1.5097_440o030d_-1.5097.wav,2,47098,2speakers/wav8k/min/tt/s1/050a0505_1.5097_440o030d_-1.5097.wav,2speakers/wav8k/min/tt/s2/050a0505_1.5097_440o030d_-1.5097.wav
6,2speakers/wav8k/min/tt/mix/050a0506_1.7744_447c0213_-1.7744.wav,2,37915,2speakers/wav8k/min/tt/s1/050a0506_1.7744_447c0213_-1.7744.wav,2speakers/wav8k/min/tt/s2/050a0506_1.7744_447c0213_-1.7744.wav
7,2speakers/wav8k/min/tt/mix/050a0506_1.9887_447c0215_-1.9887.wav,2,45810,2speakers/wav8k/min/tt/s1/050a0506_1.9887_447c0215_-1.9887.wav,2speakers/wav8k/min/tt/s2/050a0506_1.9887_447c0215_-1.9887.wav
8,2speakers/wav8k/min/tt/mix/050a0507_0.75154_423a010l_-0.75154.wav,2,45482,2speakers/wav8k/min/tt/s1/050a0507_0.75154_423a010l_-0.75154.wav,2speakers/wav8k/min/tt/s2/050a0507_0.75154_423a010l_-0.75154.wav
9,2speakers/wav8k/min/tt/mix/050a0508_0.19796_423a010l_-0.19796.wav,2,41346,2speakers/wav8k/min/tt/s1/050a0508_0.19796_423a010l_-0.19796.wav,2speakers/wav8k/min/tt/s2/050a0508_0.19796_423a010l_-0.19796.wav
10,2speakers/wav8k/min/tt/mix/050a0508_0.25679_052a050a_-0.25679.wav,2,37412,2speakers/wav8k/min/tt/s1/050a0508_0.25679_052a050a_-0.25679.wav,2speakers/wav8k/min/tt/s2/050a0508_0.25679_052a050a_-0.25679.wav
11,2speakers/wav8k/min/tt/mix/050a0508_1.4465_22gc0102_-1.4465.wav,2,36960,2speakers/wav8k/min/tt/s1/050a0508_1.4465_22gc0102_-1.4465.wav,2speakers/wav8k/min/tt/s2/050a0508_1.4465_22gc0102_-1.4465.wav
12,2speakers/wav8k/min/tt/mix/050a0509_1.158_446o030v_-1.158.wav,2,45387,2speakers/wav8k/min/tt/s1/050a0509_1.158_446o030v_-1.158.wav,2speakers/wav8k/min/tt/s2/050a0509_1.158_446o030v_-1.158.wav
13,2speakers/wav8k/min/tt/mix/050a0509_2.4594_443o030b_-2.4594.wav,2,45387,2speakers/wav8k/min/tt/s1/050a0509_2.4594_443o030b_-2.4594.wav,2speakers/wav8k/min/tt/s2/050a0509_2.4594_443o030b_-2.4594.wav
14,2speakers/wav8k/min/tt/mix/050a050a_0.032494_446o030v_-0.032494.wav,2,44308,2speakers/wav8k/min/tt/s1/050a050a_0.032494_446o030v_-0.032494.wav,2speakers/wav8k/min/tt/s2/050a050a_0.032494_446o030v_-0.032494.wav
15,2speakers/wav8k/min/tt/mix/050a050a_1.7521_422c020j_-1.7521.wav,2,44308,2speakers/wav8k/min/tt/s1/050a050a_1.7521_422c020j_-1.7521.wav,2speakers/wav8k/min/tt/s2/050a050a_1.7521_422c020j_-1.7521.wav
