,mix,n_src,length,s1,s2,s3,s4,s5
0,,2,35269,,,,,
1,,2,38899,,,,,
2,,2,38899,,,,,
3,,2,38899,,,,,
4,,2,44898,,,,,
5,,2,47098,,,,,
6,,2,37915,,,,,
7,,2,45810,,,,,
8,,2,45482,,,,,
9,,2,41346,,,,,
10,,2,37412,,,,,
11,,2,36960,,,,,
12,,2,45387,,,,,
13,,2,45387,,,,,
14,,2,44308,,,,,
15,,2,44308,,,,,
16,,2,37039,,,,,
17,,2,32749,,,,,
18,,2,43671,,,,,
19,,2,43671,,,,,
20,,2,38164,,,,,
21,,2,41525,,,,,
22,,2,42878,,,,,
23,,2,37915,,,,,
24,,2,42878,,,,,
25,,2,41647,,,,,
26,,2,42651,,,,,
27,,2,42651,,,,,
28,,2,42651,,,,,
29,,2,40725,,,,,
30,,2,40570,,,,,
31,,2,40570,,,,,
32,,2,40570,,,,,
33,,2,41601,,,,,
34,,2,36880,,,,,
35,,2,36880,,,,,
36,,2,36880,,,,,
37,,2,36495,,,,,
38,,2,33440,,,,,
39,,2,33849,,,,,
40,,2,27251,,,,,
41,,2,41827,,,,,
42,,2,44061,,,,,
43,,2,44061,,,,,
44,,2,44061,,,,,
45,,2,44061,,,,,
46,,2,44061,,,,,
47,,2,46764,,,,,
48,,2,41228,,,,,
49,,2,43304,,,,,
50,,2,39200,,,,,
51,,2,41785,,,,,
52,,2,41785,,,,,
53,,2,36832,,,,,
54,,2,36218,,,,,
55,,2,36832,,,,,
56,,2,36832,,,,,
57,,2,36832,,,,,
58,,2,37434,,,,,
59,,2,40162,,,,,
60,,2,32749,,,,,
61,,2,38036,,,,,
62,,2,68795,,,,,
63,,2,56000,,,,,
64,,2,47872,,,,,
65,,2,57475,,,,,
66,,2,71935,,,,,
67,,2,54709,,,,,
68,,2,58896,,,,,
69,,2,57977,,,,,
70,,2,42875,,,,,
71,,2,72425,,,,,
72,,2,51163,,,,,
73,,2,51163,,,,,
74,,2,61215,,,,,
75,,2,49277,,,,,
76,,2,32749,,,,,
77,,2,43500,,,,,
78,,2,43500,,,,,
79,,2,43500,,,,,
80,,2,51266,,,,,
81,,2,51266,,,,,
82,,2,43890,,,,,
83,,2,37794,,,,,
84,,2,56941,,,,,
85,,2,49150,,,,,
86,,2,43929,,,,,
87,,2,51173,,,,,
88,,2,52110,,,,,
89,,2,36929,,,,,
90,,2,35260,,,,,
91,,2,39660,,,,,
92,,2,37567,,,,,
93,,2,39660,,,,,
94,,2,24101,,,,,
95,,2,52657,,,,,
96,,2,55159,,,,,
97,,2,55879,,,,,
98,,2,55879,,,,,
99,,2,36398,,,,,
100,,2,48479,,,,,
101,,2,54720,,,,,
102,,2,56998,,,,,
103,,2,45603,,,,,
104,,2,40800,,,,,
105,,2,59990,,,,,
106,,2,59990,,,,,
107,,2,26177,,,,,
108,,2,41600,,,,,
109,,2,53897,,,,,
110,,2,25158,,,,,
111,,2,53897,,,,,
112,,2,53897,,,,,
113,,2,48961,,,,,
114,,2,63087,,,,,
115,,2,33440,,,,,
116,,2,42517,,,,,
117,,2,42517,,,,,
118,,2,62525,,,,,
119,,2,81848,,,,,
120,,2,48961,,,,,
121,,2,44240,,,,,
122,,2,67576,,,,,
123,,2,55326,,,,,
124,,2,52160,,,,,
125,,2,60840,,,,,
126,,2,60840,,,,,
127,,2,60840,,,,,
128,,2,24133,,,,,
129,,2,38833,,,,,
130,,2,31181,,,,,
131,,2,24800,,,,,
132,,2,49074,,,,,
133,,2,44644,,,,,
134,,2,55762,,,,,
135,,2,72842,,,,,
136,,2,64257,,,,,
137,,2,85583,,,,,
138,,2,40800,,,,,
139,,2,41120,,,,,
140,,2,42217,,,,,
141,,2,42980,,,,,
142,,2,57226,,,,,
143,,2,36610,,,,,
144,,2,66886,,,,,
145,,2,19043,,,,,
146,,2,19840,,,,,
147,,2,67365,,,,,
148,,2,67365,,,,,
149,,2,67365,,,,,
150,,2,48018,,,,,
151,,2,40139,,,,,
152,,2,43282,,,,,
153,,2,38632,,,,,
154,,2,80869,,,,,
155,,2,46108,,,,,
156,,2,40840,,,,,
157,,2,30515,,,,,
158,,2,30515,,,,,
159,,2,30515,,,,,
160,,2,70735,,,,,
161,,2,70735,,,,,
162,,2,38858,,,,,
163,,2,38858,,,,,
164,,2,38020,,,,,
165,,2,41648,,,,,
166,,2,48359,,,,,
167,,2,40139,,,,,
168,,2,42451,,,,,
169,,2,42451,,,,,
170,,2,40271,,,,,
171,,2,43558,,,,,
172,,2,31360,,,,,
173,,2,19491,,,,,
174,,2,24704,,,,,
175,,2,49762,,,,,
176,,2,44786,,,,,
177,,2,37620,,,,,
178,,2,37620,,,,,
179,,2,37620,,,,,
180,,2,40605,,,,,
181,,2,51730,,,,,
182,,2,36124,,,,,
183,,2,22486,,,,,
184,,2,46132,,,,,
185,,2,37009,,,,,
186,,2,37009,,,,,
187,,2,46306,,,,,
188,,2,46306,,,,,
189,,2,39001,,,,,
190,,2,46306,,,,,
191,,2,39626,,,,,
192,,2,39626,,,,,
193,,2,38241,,,,,
194,,2,38241,,,,,
195,,2,49819,,,,,
196,,2,36117,,,,,
197,,2,49819,,,,,
198,,2,38829,,,,,
199,,2,36155,,,,,
200,,2,44449,,,,,
201,,2,34218,,,,,
202,,2,41510,,,,,
203,,2,42867,,,,,
204,,2,42867,,,,,
205,,2,42867,,,,,
206,,2,53906,,,,,
207,,2,45623,,,,,
208,,2,39946,,,,,
209,,2,44933,,,,,
210,,2,26075,,,,,
211,,2,46244,,,,,
212,,2,39657,,,,,
213,,2,41724,,,,,
214,,2,41724,,,,,
215,,2,41724,,,,,
216,,2,42593,,,,,
217,,2,36710,,,,,
218,,2,39200,,,,,
219,,2,42593,,,,,
220,,2,29407,,,,,
221,,2,45062,,,,,
222,,2,30748,,,,,
223,,2,30637,,,,,
224,,2,27501,,,,,
225,,2,27501,,,,,
226,,2,54630,,,,,
227,,2,43759,,,,,
228,,2,37434,,,,,
229,,2,39138,,,,,
230,,2,65412,,,,,
231,,2,63273,,,,,
232,,2,48480,,,,,
233,,2,37440,,,,,
234,,2,45036,,,,,
235,,2,53501,,,,,
236,,2,73493,,,,,
237,,2,36640,,,,,
238,,2,41600,,,,,
239,,2,73647,,,,,
240,,2,70101,,,,,
241,,2,49338,,,,,
242,,2,55415,,,,,
243,,2,57665,,,,,
244,,2,57665,,,,,
245,,2,68775,,,,,
246,,2,90153,,,,,
247,,2,62487,,,,,
248,,2,58320,,,,,
249,,2,46677,,,,,
250,,2,57611,,,,,
251,,2,38400,,,,,
252,,2,57611,,,,,
253,,2,75225,,,,,
254,,2,55219,,,,,
255,,2,75225,,,,,
256,,2,52591,,,,,
257,,2,30402,,,,,
258,,2,46833,,,,,
259,,2,45920,,,,,
260,,2,62740,,,,,
261,,2,64487,,,,,
262,,2,56736,,,,,
263,,2,41441,,,,,
264,,2,30391,,,,,
265,,2,30391,,,,,
266,,2,30391,,,,,
