,mix,n_src,length,s1,s2,s3,s4
0,4speakers/wav8k/min/tt/mix/050a0502_0.41245313_442o0304_2.3375642_421c020z_-2.3375642_22ho0105_-0.41245313.wav,4,38899,4speakers/wav8k/min/tt/s1/050a0502_0.41245313_442o0304_2.3375642_421c020z_-2.3375642_22ho0105_-0.41245313.wav,4speakers/wav8k/min/tt/s2/050a0502_0.41245313_442o0304_2.3375642_421c020z_-2.3375642_22ho0105_-0.41245313.wav,4speakers/wav8k/min/tt/s3/050a0502_0.41245313_442o0304_2.3375642_421c020z_-2.3375642_22ho0105_-0.41245313.wav,4speakers/wav8k/min/tt/s4/050a0502_0.41245313_442o0304_2.3375642_421c020z_-2.3375642_22ho0105_-0.41245313.wav
1,4speakers/wav8k/min/tt/mix/050a0503_0.47246514_422c0213_0.73477908_420a010c_-0.73477908_445c0216_-0.47246514.wav,4,25080,4speakers/wav8k/min/tt/s1/050a0503_0.47246514_422c0213_0.73477908_420a010c_-0.73477908_445c0216_-0.47246514.wav,4speakers/wav8k/min/tt/s2/050a0503_0.47246514_422c0213_0.73477908_420a010c_-0.73477908_445c0216_-0.47246514.wav,4speakers/wav8k/min/tt/s3/050a0503_0.47246514_422c0213_0.73477908_420a010c_-0.73477908_445c0216_-0.47246514.wav,4speakers/wav8k/min/tt/s4/050a0503_0.47246514_422c0213_0.73477908_420a010c_-0.73477908_445c0216_-0.47246514.wav
2,4speakers/wav8k/min/tt/mix/050a0503_1.0861669_442o0308_1.1844934_446c020q_-1.1844934_22go010e_-1.0861669.wav,4,44920,4speakers/wav8k/min/tt/s1/050a0503_1.0861669_442o0308_1.1844934_446c020q_-1.1844934_22go010e_-1.0861669.wav,4speakers/wav8k/min/tt/s2/050a0503_1.0861669_442o0308_1.1844934_446c020q_-1.1844934_22go010e_-1.0861669.wav,4speakers/wav8k/min/tt/s3/050a0503_1.0861669_442o0308_1.1844934_446c020q_-1.1844934_22go010e_-1.0861669.wav,4speakers/wav8k/min/tt/s4/050a0503_1.0861669_442o0308_1.1844934_446c020q_-1.1844934_22go010e_-1.0861669.wav
3,4speakers/wav8k/min/tt/mix/050a0503_1.1666318_445c020e_0.90804304_420a0108_-0.90804304_442c020o_-1.1666318.wav,4,39379,4speakers/wav8k/min/tt/s1/050a0503_1.1666318_445c020e_0.90804304_420a0108_-0.90804304_442c020o_-1.1666318.wav,4speakers/wav8k/min/tt/s2/050a0503_1.1666318_445c020e_0.90804304_420a0108_-0.90804304_442c020o_-1.1666318.wav,4speakers/wav8k/min/tt/s3/050a0503_1.1666318_445c020e_0.90804304_420a0108_-0.90804304_442c020o_-1.1666318.wav,4speakers/wav8k/min/tt/s4/050a0503_1.1666318_445c020e_0.90804304_420a0108_-0.90804304_442c020o_-1.1666318.wav
4,4speakers/wav8k/min/tt/mix/050a0504_0.043865772_051c0103_2.1330824_443c020h_-2.1330824_441o030w_-0.043865772.wav,4,30637,4speakers/wav8k/min/tt/s1/050a0504_0.043865772_051c0103_2.1330824_443c020h_-2.1330824_441o030w_-0.043865772.wav,4speakers/wav8k/min/tt/s2/050a0504_0.043865772_051c0103_2.1330824_443c020h_-2.1330824_441o030w_-0.043865772.wav,4speakers/wav8k/min/tt/s3/050a0504_0.043865772_051c0103_2.1330824_443c020h_-2.1330824_441o030w_-0.043865772.wav,4speakers/wav8k/min/tt/s4/050a0504_0.043865772_051c0103_2.1330824_443c020h_-2.1330824_441o030w_-0.043865772.wav
5,4speakers/wav8k/min/tt/mix/050a0504_0.12132855_050o0210_0.42552448_22gc010p_-0.42552448_443c020q_-0.12132855.wav,4,43302,4speakers/wav8k/min/tt/s1/050a0504_0.12132855_050o0210_0.42552448_22gc010p_-0.42552448_443c020q_-0.12132855.wav,4speakers/wav8k/min/tt/s2/050a0504_0.12132855_050o0210_0.42552448_22gc010p_-0.42552448_443c020q_-0.12132855.wav,4speakers/wav8k/min/tt/s3/050a0504_0.12132855_050o0210_0.42552448_22gc010p_-0.42552448_443c020q_-0.12132855.wav,4speakers/wav8k/min/tt/s4/050a0504_0.12132855_050o0210_0.42552448_22gc010p_-0.42552448_443c020q_-0.12132855.wav
6,4speakers/wav8k/min/tt/mix/050a0504_0.65344653_446o030e_2.1317748_443o0303_-2.1317748_423o030b_-0.65344653.wav,4,44898,4speakers/wav8k/min/tt/s1/050a0504_0.65344653_446o030e_2.1317748_443o0303_-2.1317748_423o030b_-0.65344653.wav,4speakers/wav8k/min/tt/s2/050a0504_0.65344653_446o030e_2.1317748_443o0303_-2.1317748_423o030b_-0.65344653.wav,4speakers/wav8k/min/tt/s3/050a0504_0.65344653_446o030e_2.1317748_443o0303_-2.1317748_423o030b_-0.65344653.wav,4speakers/wav8k/min/tt/s4/050a0504_0.65344653_446o030e_2.1317748_443o0303_-2.1317748_423o030b_-0.65344653.wav
7,4speakers/wav8k/min/tt/mix/050a0504_0.72496216_441c020v_2.0680025_441c020p_-2.0680025_420c020v_-0.72496216.wav,4,44898,4speakers/wav8k/min/tt/s1/050a0504_0.72496216_441c020v_2.0680025_441c020p_-2.0680025_420c020v_-0.72496216.wav,4speakers/wav8k/min/tt/s2/050a0504_0.72496216_441c020v_2.0680025_441c020p_-2.0680025_420c020v_-0.72496216.wav,4speakers/wav8k/min/tt/s3/050a0504_0.72496216_441c020v_2.0680025_441c020p_-2.0680025_420c020v_-0.72496216.wav,4speakers/wav8k/min/tt/s4/050a0504_0.72496216_441c020v_2.0680025_441c020p_-2.0680025_420c020v_-0.72496216.wav
8,4speakers/wav8k/min/tt/mix/050a0504_0.82496601_22ho0112_0.32209396_440c020r_-0.32209396_443c0213_-0.82496601.wav,4,43526,4speakers/wav8k/min/tt/s1/050a0504_0.82496601_22ho0112_0.32209396_440c020r_-0.32209396_443c0213_-0.82496601.wav,4speakers/wav8k/min/tt/s2/050a0504_0.82496601_22ho0112_0.32209396_440c020r_-0.32209396_443c0213_-0.82496601.wav,4speakers/wav8k/min/tt/s3/050a0504_0.82496601_22ho0112_0.32209396_440c020r_-0.32209396_443c0213_-0.82496601.wav,4speakers/wav8k/min/tt/s4/050a0504_0.82496601_22ho0112_0.32209396_440c020r_-0.32209396_443c0213_-0.82496601.wav
9,4speakers/wav8k/min/tt/mix/050a0504_1.5446513_22ho010l_1.3978366_050c010k_-1.3978366_22ho010k_-1.5446513.wav,4,44898,4speakers/wav8k/min/tt/s1/050a0504_1.5446513_22ho010l_1.3978366_050c010k_-1.3978366_22ho010k_-1.5446513.wav,4speakers/wav8k/min/tt/s2/050a0504_1.5446513_22ho010l_1.3978366_050c010k_-1.3978366_22ho010k_-1.5446513.wav,4speakers/wav8k/min/tt/s3/050a0504_1.5446513_22ho010l_1.3978366_050c010k_-1.3978366_22ho010k_-1.5446513.wav,4speakers/wav8k/min/tt/s4/050a0504_1.5446513_22ho010l_1.3978366_050c010k_-1.3978366_22ho010k_-1.5446513.wav
